,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
40,Pevek,69.7008,170.3133,42.26,69,5,7.02
41,Bambous Virieux,-20.3428,57.7575,68.25,77,20,12.66
42,Kruisfontein,-34.0033,24.7314,43.88,78,100,5.86
43,Rondonópolis,-16.4708,-54.6356,74.01,31,0,1.14
44,Bredasdorp,-34.5322,20.0403,42.12,93,100,3.44
45,Port Blair,11.6667,92.75,82.38,85,86,21.18
46,Balyqshy,47.0667,51.8667,75.2,53,20,4.47
47,Kavieng,-2.5744,150.7967,83.57,74,69,12.19
48,Broken Hill,-31.95,141.4333,48.16,79,85,13.96
49,Hithadhoo,-0.6,73.0833,80.82,76,100,10.85
50,Kondoa,-4.9,35.7833,54.79,93,4,3.13
51,Vaini,-21.2,-175.2,80.76,78,20,5.75
52,Hearst,49.6835,-83.6665,70.05,61,86,2.8
53,Provideniya,64.3833,-173.3,46.51,71,75,13.42
54,Saint-Augustin,51.226,-58.6502,49.05,91,100,13.71
55,Albany,42.6001,-73.9662,67.1,64,100,3.0
56,Bluff,-46.6,168.3333,49.8,65,78,11.23
57,El Salvador,13.8333,-88.9167,81.05,63,100,1.28
58,Ilhabela,-23.7781,-45.3581,61.68,86,13,3.65
59,Khatanga,71.9667,102.5,63.77,61,100,9.93
60,Hobart,-42.8794,147.3294,54.9,56,40,4.0
61,Gambēla,8.25,34.5833,68.04,87,36,4.47
62,Vágur,61.4732,-6.8119,51.21,94,84,8.63
63,Ushtobe,45.2514,77.9838,78.39,38,10,4.27
64,Coxim,-18.5067,-54.76,72.54,25,0,5.55
65,Along,28.1667,94.7667,80.64,83,14,1.23
66,George Town,5.4112,100.3354,84.6,75,20,1.01
67,Vila Franca do Campo,37.7167,-25.4333,64.81,82,18,4.25
68,Sulangan,11.1373,123.7228,84.25,72,100,20.76
69,Mataura,-46.1927,168.8643,50.49,75,18,3.06
70,Kaya,13.0917,-1.0844,82.2,60,84,13.85
71,Faya,18.3851,42.4509,57.72,86,100,6.29
72,Port Alfred,-33.5906,26.891,52.77,69,98,23.06
73,Eresós,39.1667,25.9333,74.79,64,0,21.27
74,Mar del Plata,-38.0023,-57.5575,56.17,74,0,3.0
75,Qasigiannguit,68.8193,-51.1922,44.85,89,100,0.78
76,Paamiut,61.994,-49.6678,41.88,94,99,3.04
77,Carnarvon,-24.8667,113.6333,64.47,75,99,4.61
78,Acapulco de Juárez,16.8634,-99.8901,85.82,66,75,9.22
79,Fayaoué,-20.65,166.5333,74.14,78,91,9.71
80,Tuktoyaktuk,69.4541,-133.0374,51.8,93,90,18.41
81,Mehamn,71.0357,27.8492,43.3,78,100,20.07
82,Sistranda,63.7256,8.834,53.56,86,100,14.36
83,Kulu,39.0951,33.0799,62.49,62,0,6.6
84,‘Ewa Beach,21.3156,-158.0072,85.03,53,20,14.97
85,Jalu,29.0331,21.5482,78.31,63,0,16.28
86,Sechura,-5.5569,-80.8222,66.24,75,56,14.72
87,Lebanon,36.2081,-86.2911,78.39,78,1,6.91
88,East London,-33.0153,27.9116,52.68,69,95,20.74
89,Mocuba,-16.8392,36.9856,65.12,97,16,1.48
90,Aksu,41.1231,80.2644,71.6,61,0,5.53
91,Vao,-22.6667,167.4833,69.28,68,22,4.9
92,Hofn,64.2539,-15.2082,53.24,97,100,4.61
93,Namatanai,-3.6667,152.4333,83.77,70,14,6.51
94,Haines Junction,60.7522,-137.5108,66.15,42,13,12.66
95,Saint Paul Harbor,57.79,-152.4072,54.91,88,90,17.27
96,Sayyan,15.1718,44.3244,58.53,83,100,9.01
97,Kavaratti,10.5669,72.642,81.59,81,100,25.77
98,Werda,-25.2667,23.2833,33.69,52,0,9.33
99,College,64.8569,-147.8028,79.7,40,40,9.22
100,Evensk,61.95,159.2333,50.77,96,100,7.58
101,São Miguel do Tapuio,-5.5036,-41.3233,74.28,46,7,5.86
102,Kendari,-3.945,122.4989,78.78,84,100,3.13
103,Laguna,38.421,-121.4238,94.26,25,1,4.0
104,Hasaki,35.7333,140.8333,85.5,69,91,5.99
105,Yerofey Pavlovich,53.9667,121.9667,68.07,96,100,5.79
106,Barrow,71.2906,-156.7887,39.22,81,90,13.8
107,Mahébourg,-20.4081,57.7,68.29,77,20,12.66
108,Vuktyl,63.8567,57.3094,50.13,57,1,1.68
109,Kerewan,13.4898,-16.0888,78.91,78,9,10.96
110,Safi,32.2994,-9.2372,71.47,75,93,11.81
111,Seymchan,62.8833,152.4333,56.1,93,100,7.27
112,Curanilahue,-37.4667,-73.35,47.07,73,100,3.51
113,Lorengau,-2.0226,147.2712,84.16,74,40,6.82
114,Kaseda-shirakame,31.4167,130.3167,82.74,75,100,15.84
115,Esim,4.8699,-2.2405,75.07,86,61,9.31
116,Port Hardy,50.6996,-127.4199,60.98,67,75,5.75
117,Nyurba,63.2842,118.3319,68.18,74,100,1.92
118,Avarua,-21.2078,-159.775,80.65,74,75,12.66
119,Cascais,38.6979,-9.4215,66.85,74,52,1.99
120,Manggar,-2.8833,108.2667,83.66,70,100,11.86
121,Tambopata,-12.7333,-69.1833,71.02,56,0,0.87
122,Jasper,37.2001,-94.3502,81.27,72,1,0.0
123,Guerrero Negro,27.9769,-114.0611,75.33,68,100,13.85
124,Enshi,30.3,109.4833,79.2,87,100,0.54
125,Norman Wells,65.282,-126.8329,78.84,47,75,13.8
126,Qingdao,36.0986,120.3719,85.6,66,40,6.71
127,Eureka,40.8021,-124.1637,61.45,73,3,4.0
128,Chokurdakh,70.6333,147.9167,53.01,48,0,8.66
129,Airai,-8.9266,125.4092,71.19,27,15,2.59
130,Bathsheba,13.2167,-59.5167,81.21,83,40,19.57
131,Dicabisagan,17.0818,122.4157,87.06,63,100,5.21
132,Bergeijk,51.3192,5.3583,56.28,89,0,2.3
133,Kazygurt,41.7589,69.3864,75.13,24,0,4.81
134,Lucknow,26.85,80.9167,82.38,89,75,3.44
135,Marawi,7.9986,124.2928,77.47,68,78,9.33
136,Hong Kong,22.2855,114.1577,87.46,81,58,7.0
137,San Quintín,30.4833,-115.95,73.24,74,1,9.71
138,Kuito,-12.3833,16.9333,47.98,28,100,4.16
139,Coahuayana Viejo,18.7333,-103.6833,83.68,83,100,2.57
140,Saldanha,-33.0117,17.9442,37.45,72,0,9.69
141,Salamanca,40.8333,-6.0,59.77,49,100,5.03
142,Boyuibe,-20.4167,-63.2833,65.89,42,0,5.95
143,Yulara,-25.2406,130.9889,58.84,47,5,3.44
144,Vestmannaeyjar,63.4427,-20.2734,53.2,97,100,20.22
145,Severo-Kuril'sk,50.6789,156.125,56.17,85,62,5.48
146,Leningradskiy,69.3833,178.4167,39.94,83,100,11.52
147,Zheleznodorozhnyy,55.7503,38.0042,55.35,65,19,5.86
148,Paratinga,-12.6906,-43.1842,74.05,52,0,8.46
149,Saint-Philippe,-21.3585,55.7679,64.09,77,45,13.22
150,Puyallup,47.1854,-122.2929,75.74,41,1,1.01
151,Kargasok,59.0556,80.8572,69.57,68,100,4.7
152,Ambilobe,-13.2,49.05,63.57,79,4,3.4
153,Bubaque,11.2833,-15.8333,80.26,86,100,16.2
154,Ketchikan,55.3422,-131.6461,59.47,77,90,17.27
155,Nevşehir,38.9167,34.6667,60.01,63,0,8.05
156,Stary Sącz,49.5636,20.635,57.94,89,7,2.51
157,San Cristobal,7.7669,-72.225,73.58,97,100,3.76
158,Bonavista,48.6499,-53.1147,48.2,94,94,11.14
159,Bucerías,20.75,-105.3333,82.2,86,94,2.86
160,Malinovoye Ozero,51.6753,79.7825,70.23,61,94,6.93
161,Port Elizabeth,-33.918,25.5701,48.49,76,0,5.75
162,Anadyr,64.75,177.4833,57.7,67,0,8.95
163,Balingasay,16.3573,119.8564,81.95,84,100,19.24
164,Lindi,-10.0,39.7167,65.03,97,24,4.5
165,Kichera,55.9375,110.0997,61.23,77,71,3.0
166,Lewisporte,49.2499,-55.0482,49.8,81,100,8.75
167,Okny,47.5404,29.46,58.66,76,0,6.64
168,Dikson,73.5069,80.5464,38.5,96,99,15.99
169,Okhotsk,59.3833,143.3,58.39,88,100,4.21
170,Shangzhi,45.2167,127.9667,84.29,66,97,6.26
171,Aklavik,68.2191,-135.0107,61.63,54,67,19.57
172,Krasnyy Oktyabr',56.1167,38.8833,59.29,68,79,4.41
173,Ilulissat,69.2167,-51.1,44.62,81,100,3.44
174,Fuzhou,26.0614,119.3061,85.89,58,63,7.18
175,Aquin,18.2833,-73.4,80.28,81,54,3.53
176,Kipushi,-11.7667,27.2333,56.05,57,0,4.14
177,São Raimundo Nonato,-9.0153,-42.6994,74.95,57,0,9.33
178,Elizabeth City,36.2946,-76.2511,72.39,78,1,6.91
179,San Patricio,28.017,-97.5169,83.95,69,87,12.73
180,Oktyabr'skiy,54.4815,53.471,54.61,95,100,1.07
181,Tasiilaq,65.6145,-37.6368,42.96,97,100,2.66
182,Hokitika,-42.7167,170.9667,49.64,73,96,0.6
183,Bereda,43.2686,-7.5406,60.53,100,100,0.78
184,Trelew,-43.249,-65.3051,54.03,39,100,9.51
185,Bolotnoye,55.6717,84.3981,64.4,77,19,9.51
186,Joshīmath,30.5667,79.5667,71.62,82,88,2.13
187,Nishihara,26.1842,127.7558,80.31,97,90,25.32
188,Jardim,-21.4803,-56.1381,64.13,18,0,5.68
189,Jadu,31.953,12.0261,68.63,61,0,5.01
190,Safaga,26.7292,33.9365,87.75,40,0,9.46
191,Ekhabi,53.5102,142.9671,75.16,64,16,3.76
192,Zeya,53.75,127.2667,77.95,90,49,8.05
193,Castro,-24.7911,-50.0119,48.15,58,0,3.29
194,Benidorm,38.5382,-0.131,78.64,57,0,2.1
195,Olafsvik,64.8945,-23.7142,52.11,97,100,11.3
196,Vardø,70.3705,31.1107,45.34,81,100,31.32
197,São João da Barra,-21.6403,-41.0511,67.03,75,0,5.3
198,Luwingu,-10.2621,29.9271,53.22,66,5,2.84
199,Soyo,-6.1349,12.3689,70.36,85,30,4.52
200,Umluj,25.0213,37.2685,83.88,66,13,6.13
201,Karratha,-20.7377,116.8463,73.36,29,6,12.71
202,Ashland,40.8167,-82.2665,64.15,77,94,4.9
203,Zaranj,30.9667,61.8833,87.01,19,0,10.49
204,Cape Town,-33.9258,18.4232,44.8,79,0,3.0
205,Aripuanã,-9.1667,-60.6333,75.2,45,0,2.62
206,Klaksvík,62.2266,-6.589,49.12,92,88,9.82
207,Pangody,65.85,74.4859,56.08,63,100,8.46
208,Murray Bridge,-35.1167,139.2667,52.92,78,29,3.49
209,Bodītī,6.9667,37.8667,55.02,88,86,2.73
210,Saint George,37.1041,-113.5841,84.2,47,20,15.01
211,Salalah,17.0151,54.0924,78.89,94,90,9.22
212,Monteagudo,-19.8167,-63.9833,57.56,65,0,2.01
213,Hualmay,-11.0964,-77.6139,64.08,83,11,9.69
214,Falmouth,50.1544,-5.0711,64.38,92,75,8.99
215,Cidreira,-30.1811,-50.2056,58.59,86,83,14.65
216,Beringovskiy,63.05,179.3167,47.52,91,100,8.7
217,Aquiraz,-3.9014,-38.3911,82.58,67,7,15.57
218,Dombarovskiy,50.7587,59.5386,73.45,54,54,7.0
219,Cherskiy,68.75,161.3,61.95,68,100,0.98
220,Christchurch,-43.5333,172.6333,52.34,71,0,4.0
221,St. George's,12.0564,-61.7485,82.08,83,20,9.22
222,Poronaysk,49.2167,143.1167,73.8,83,44,5.32
223,Karaman Province,37.0833,33.25,61.81,58,0,8.88
224,Lagoa,39.05,-27.9833,67.69,77,19,11.18
225,Ol'ga,43.7444,135.2892,88.65,58,25,1.81
226,Coyhaique,-45.5752,-72.0662,42.75,56,20,3.44
227,New Norfolk,-42.7826,147.0587,53.24,57,47,4.0
228,Mandera,3.9366,41.867,75.51,51,7,18.54
229,Encantado,-29.2361,-51.8697,56.61,81,48,2.86
230,Rovaniemi,66.5,25.7167,47.61,71,0,8.05
231,Palu,-0.8917,119.8707,84.43,67,90,1.68
232,Butaritari,3.0707,172.7902,83.41,76,100,15.77
233,Omiš,43.4447,16.6886,73.33,62,0,7.31
234,Poum,-20.2333,164.0167,71.51,71,1,2.37
235,Thompson,55.7435,-97.8558,80.76,54,75,8.05
236,Mana,5.6592,-53.7767,78.96,87,51,9.53
237,Te Anau,-45.4167,167.7167,48.16,72,8,2.08
238,Longyearbyen,78.2186,15.6401,42.64,87,75,17.27
239,Vikhorevka,56.1201,101.1636,60.39,60,10,7.34
240,Warmbad,-28.45,18.7333,39.72,42,0,10.45
241,Bengkulu,-3.8004,102.2655,77.7,78,100,2.15
242,Mandurah,-32.55,115.7,61.39,65,100,26.19
243,Konstantinovo,54.6628,29.2699,57.09,71,58,7.2
244,Bemidji,47.4736,-94.8803,78.91,71,40,10.36
245,Kudahuvadhoo,2.6708,72.8944,82.9,71,100,12.03
246,Kuching,1.55,110.3333,82.62,89,20,4.61
247,Ayan,56.45,138.1667,69.82,63,10,7.02
248,Golden,39.7555,-105.2211,77.0,46,100,3.0
249,Pedernales,18.0384,-71.744,80.74,66,19,8.12
250,Kaitangata,-46.2817,169.8464,52.93,52,13,5.08
251,Tuatapere,-46.1333,167.6833,50.83,65,17,5.39
252,Necochea,-38.5473,-58.7368,51.51,68,100,10.83
253,Constitución,-35.3333,-72.4167,53.4,84,100,6.71
254,Inírida,3.8653,-67.9239,74.19,97,100,1.77
255,Amposta,40.7131,0.581,78.82,59,0,6.17
256,Turukhansk,65.8167,87.9833,61.68,84,100,2.86
257,Tilichiki,60.4667,166.1,64.13,55,100,8.14
258,Hambantota,6.1241,81.1185,80.26,79,100,21.59
259,Naryan-Mar,67.6713,53.087,48.67,94,100,9.93
260,Ambikāpur,23.1167,83.2,77.74,84,0,3.4
261,Port Lincoln,-34.7333,135.8667,56.5,67,59,10.65
262,Lebu,-37.6167,-73.65,50.0,86,100,6.93
263,Nikolskoye,59.7035,30.7861,59.65,80,100,5.37
264,Abensberg,48.8167,11.85,58.12,91,12,0.2
265,Seoul,37.5683,126.9778,87.01,51,99,2.44
266,Ganta,7.3022,-8.5308,69.53,99,100,4.12
267,Udachny,66.4167,112.4,69.96,44,31,11.21
268,Maputo,-25.9653,32.5892,56.88,54,20,11.5
269,Novaya Malykla,54.2,49.95,55.29,94,13,5.1
270,Naraina,26.7833,75.2,82.54,75,100,8.19
271,Herat Province,34.5,62.0,77.97,22,0,8.77
272,Yazman,29.1212,71.7446,92.86,49,60,4.83
273,Ahipara,-35.1667,173.1667,58.89,65,0,7.92
274,San Policarpo,12.1791,125.5072,86.23,65,100,14.14
275,Arraial do Cabo,-22.9661,-42.0278,57.16,100,40,0.0
276,Alta Floresta,-9.8756,-56.0861,73.81,36,0,3.91
277,Shelby,35.2001,-89.8668,79.05,83,1,0.0
278,Rincon,32.296,-81.2354,78.19,91,90,0.0
279,Vilhena,-12.7406,-60.1458,69.78,43,0,3.09
280,Sola,-13.8833,167.55,80.8,79,45,16.17
281,Kiomboi,-4.2667,34.3667,59.47,68,6,6.8
282,Geraldton,-28.7667,114.6,61.21,94,40,2.3
283,Mount Isa,-20.7333,139.5,76.77,22,6,9.22
284,Lompoc,34.6391,-120.4579,64.94,76,75,7.0
285,Maracanã,-0.7667,-47.45,73.33,97,13,2.53
286,Opuwo,-18.0607,13.84,55.63,28,0,8.37
287,Caravelas,-17.7125,-39.2481,70.59,64,79,7.96
288,Pundaguitan,6.3711,126.1689,84.61,69,7,10.63
289,Balad,34.0164,44.1453,91.17,35,0,11.95
290,Sioux Lookout,50.1001,-91.917,73.47,73,40,9.22
291,Kuala Terengganu,5.3302,103.1408,78.75,89,20,2.3
292,Mazagão,-0.115,-51.2894,82.45,95,40,3.69
293,Kahului,20.8947,-156.47,81.3,70,40,26.46
294,Finschhafen,-6.6024,147.8681,78.46,88,100,9.93
295,Faanui,-16.4833,-151.75,78.01,69,10,14.54
296,Lhokseumawe,5.1801,97.1507,79.09,76,100,4.79
297,Troitsko-Pechorsk,62.7084,56.1964,51.17,54,21,3.15
298,Oddur,4.1213,43.8894,68.99,82,36,20.0
299,Dali,25.7,100.1833,67.23,81,46,2.28
300,Sørland,67.667,12.6934,49.66,75,100,10.98
301,São Miguel do Araguaia,-13.275,-50.1628,78.26,34,100,5.41
302,Edson,53.5835,-116.4356,66.31,27,20,13.8
303,Hertford,51.7959,-0.0785,60.73,89,31,6.22
304,Selçuk,37.9514,27.3685,75.9,66,0,6.38
305,Progreso,21.2833,-89.6667,88.11,82,0,16.87
306,Killam,52.7834,-111.8518,60.76,63,30,6.91
307,Kętrzyn,54.0768,21.3753,60.66,78,100,3.33
308,Mananjary,-21.2167,48.3333,63.9,93,13,4.94
309,Tambacounda,13.7539,-13.7586,86.05,66,20,11.5
310,Conceição da Barra,-18.5933,-39.7322,67.48,73,27,6.02
311,Ponta do Sol,32.6667,-17.1,71.02,80,11,7.47
312,Souillac,-20.5167,57.5167,68.38,77,20,12.66
313,Dhandhuka,22.3667,71.9833,83.95,75,95,10.04
314,Gornopravdinsk,60.05,69.9,69.93,79,37,10.49
315,Laas,46.6166,10.7002,60.12,84,0,3.31
316,Paraíso,9.8383,-83.8656,65.1,91,100,3.98
317,Touros,-5.1989,-35.4608,74.3,83,10,14.14
318,Lata,40.1629,-8.3327,59.77,97,99,0.83
319,Kiryat Gat,31.61,34.7642,74.32,100,31,4.61
320,George Town,5.4112,100.3354,84.6,75,20,1.01
321,Ancud,-41.8697,-73.8203,46.22,86,100,6.91
322,Soligalich,59.0778,42.2864,52.39,89,99,5.17
323,Santa Rosalía,27.3167,-112.2833,88.32,58,76,6.91
324,Moshupa,-24.7782,25.4155,35.64,50,0,6.15
325,Escanaba,45.7453,-87.0646,66.81,85,90,5.75
326,Kiama,-34.6833,150.8667,55.9,64,92,5.99
327,Narsaq,60.9167,-46.05,46.62,95,100,6.55
328,Phonhong,18.5007,102.4166,78.62,98,100,2.26
329,Igarka,67.4667,86.5833,59.29,80,100,8.68
330,Thunder Bay,48.4001,-89.3168,64.89,79,90,8.05
331,Yangi Marg`ilon,40.4272,71.7189,77.72,33,0,6.91
332,Pisz,53.6274,21.8125,55.65,80,98,2.21
333,Batemans Bay,-35.7167,150.1833,53.82,67,100,6.42
334,Yar-Sale,66.8333,70.8333,52.63,59,100,7.23
335,Katherine,-14.4667,132.2667,82.72,36,24,9.22
336,Nome,64.5011,-165.4064,46.47,71,1,18.41
337,Codrington,-38.2667,141.9667,44.89,90,100,10.25
338,Talnakh,69.4865,88.3972,56.88,69,100,1.7
339,Avera,33.194,-82.5271,78.64,72,96,4.85
340,Hobyo,5.3505,48.5268,76.78,83,100,27.78
341,Ballina,-28.8667,153.5667,55.58,61,97,12.46
342,Ganjām,19.3833,85.0667,78.03,96,100,4.74
343,Bobrovytsya,50.75,31.3833,56.88,68,0,4.23
344,Phalombe,-15.8064,35.6507,64.62,72,78,2.13
345,Samsun Province,41.25,36.3333,68.76,88,75,4.61
346,Tiksi,71.6872,128.8694,45.46,77,100,8.41
347,Savannah Bight,16.45,-85.85,82.99,80,18,15.41
348,Ust'-Barguzin,53.45,108.9833,59.58,83,41,5.32
349,Valleyview,55.0667,-117.2859,62.64,39,84,16.11
350,Port-Gentil,-0.7193,8.7815,74.14,79,100,11.63
351,Wāliṅ,27.9833,83.7667,75.49,90,99,2.57
352,Dawei,14.0833,98.2,78.91,91,100,10.42
353,Tura,25.5198,90.2201,77.74,92,38,5.01
354,Toktogul,41.8708,72.9402,69.26,57,0,1.97
355,Leh,34.1667,77.5833,58.39,56,28,3.89
356,Vidalia,32.2177,-82.4135,80.35,74,1,0.0
357,Tambura,5.6,27.4667,67.06,97,65,3.2
358,Antofagasta,-23.65,-70.4,56.48,84,36,3.6
359,Elko,41.0002,-115.5012,87.08,22,83,13.0
360,Jackson,42.4165,-122.8345,86.74,21,1,13.8
361,Ulladulla,-35.35,150.4667,53.87,56,96,5.53
362,Berlevåg,70.8578,29.0864,43.47,81,99,25.72
363,San Jose,37.3394,-121.895,73.85,55,20,12.66
364,Nanortalik,60.1432,-45.2371,44.31,92,100,7.2
365,Tsaratanana,-16.7833,47.65,63.66,79,7,8.9
366,Shīeli,44.1667,66.75,77.77,34,0,7.78
367,Moose Factory,51.2585,-80.6094,60.78,82,1,3.44
368,Esna,25.2934,32.554,86.02,29,10,12.84
369,Gigmoto,13.7796,124.39,84.34,76,100,17.85
370,Honiara,-9.4333,159.95,85.86,68,60,6.82
371,Husavik,66.0449,-17.3389,53.51,75,47,6.49
372,Wamba,8.9333,8.6,70.86,95,100,2.66
373,Thio,-21.6167,166.2167,76.96,73,90,5.44
374,Shumskiy,54.8318,99.1328,68.14,57,0,2.28
375,Pangnirtung,66.1451,-65.7125,44.74,78,99,4.72
376,Andenes,69.3143,16.1194,46.38,87,90,17.27
377,Mweka,-4.85,21.5667,66.49,40,29,2.19
378,San Ignacio,17.1561,-89.0714,84.34,65,0,0.0
379,Lavrentiya,65.5833,-171.0,43.5,81,99,2.06
380,Balotra,25.8333,72.2333,85.21,75,99,13.09
381,Bela,25.9333,81.9833,85.59,77,80,5.91
382,Nuuk,64.1835,-51.7216,41.61,100,75,8.05
383,Lysogorskaya,44.1064,43.2756,63.95,88,100,6.35
384,Puerto Quijarro,-17.7833,-57.7667,73.69,30,0,2.39
385,Amantea,39.1332,16.0746,75.72,81,33,2.42
386,Bataiporã,-22.2953,-53.2711,61.56,33,0,5.3
387,Sur,22.5667,59.5289,91.31,55,0,9.13
388,Mattru,7.6244,-11.8332,73.47,97,98,2.89
389,Sibi,29.5448,67.8764,95.45,33,81,1.81
390,Valdivia,-39.8142,-73.2459,49.41,97,100,0.83
391,Fairbanks,64.8378,-147.7164,80.24,39,1,12.66
392,Guasdualito,7.2424,-70.7324,72.75,99,100,3.18
393,Beloha,-25.1667,45.05,65.16,83,1,3.36
394,Halifax,44.6453,-63.5724,60.71,88,62,1.01
395,Uinskoye,56.8817,56.5813,54.72,96,67,6.42
396,Rūdsar,37.1376,50.288,78.78,73,0,5.01
397,Itaituba,-4.2761,-55.9836,81.0,63,96,3.13
398,Balancán,17.8,-91.5333,83.01,60,40,6.38
399,Riyadh,24.6877,46.7219,91.54,29,88,10.2
400,Waddān,29.1614,16.139,75.65,61,0,6.46
401,Xining,36.6167,101.7667,70.54,60,86,0.34
402,Madison,34.7334,-86.5667,78.51,83,90,1.99
403,Salinópolis,-0.6136,-47.3561,78.46,86,28,11.1
404,Sambava,-14.2667,50.1667,69.58,83,38,10.89
405,Srednekolymsk,67.45,153.6833,66.74,41,14,10.18
406,Carutapera,-1.195,-46.02,75.02,92,10,5.21
407,Calama,-22.4667,-68.9333,52.29,10,0,11.5
408,Borovskoy,53.8,64.15,73.17,52,6,13.2
409,Águas Vermelhas,-15.7472,-41.46,56.57,95,54,3.53
410,Keetmanshoop,-26.5833,18.1333,40.12,60,0,12.66
411,Dickinson,29.4608,-95.0513,84.52,77,40,9.22
412,Havre-St-Pierre,50.2334,-63.5986,57.56,94,90,4.61
413,Douglas,41.3,-96.167,81.48,63,1,4.0
414,Malchin,53.7333,12.7833,50.04,91,0,4.18
415,Buala,-8.145,159.5921,84.18,72,26,7.43
416,Denton,33.2001,-97.1336,87.64,60,1,6.91
417,Richards Bay,-28.783,32.0377,53.51,41,1,12.91
418,Tigil',57.8,158.6667,68.2,65,88,8.46
419,Shakawe,-18.3667,21.85,42.28,20,96,6.04
420,Wad Rāwah,15.1603,33.1397,81.7,66,39,14.25
421,Pacific Grove,36.6177,-121.9166,59.07,84,75,3.0
422,Lethem,3.3803,-59.7968,76.33,88,100,5.26
423,Chamalières,45.7756,3.0631,61.52,77,0,2.3
424,Denpasar,-8.65,115.2167,80.26,83,40,11.5
425,Mugur-Aksy,50.35,90.5,63.1,59,100,2.68
426,Tignère,7.3667,12.65,63.18,98,100,1.99
427,Tuy Hoa,13.0833,109.3,84.09,64,100,17.0
428,São Filipe,14.8961,-24.4956,74.26,87,14,7.11
429,San Marcos,33.1434,-117.1661,70.21,81,90,1.01
430,Bad Zwischenahn,53.1833,8.0,53.67,94,77,3.18
431,Koygorodok,60.445,50.9968,48.24,64,100,3.09
432,Amazar,53.858,120.875,67.03,99,100,1.9
433,Birao,10.2849,22.7882,68.61,94,90,4.09
434,Couëron,47.2151,-1.7217,68.49,69,0,6.91
435,Northam,51.0333,-4.2167,64.58,78,100,7.76
436,Naze,28.3667,129.4833,77.92,90,100,26.26
437,Vestmanna,62.1564,-7.1664,45.52,100,20,6.91
438,Itarema,-2.9248,-39.9167,79.12,80,2,18.21
439,Hamilton,39.1834,-84.5333,72.07,70,1,0.0
440,Gouré,13.9835,10.2704,78.03,59,100,10.09
441,Kenai,60.5544,-151.2583,65.07,68,75,9.22
442,Huanren,41.2647,125.3667,85.46,61,100,2.8
443,Lawton,34.6087,-98.3903,85.41,54,1,8.05
444,Hirado,33.3597,129.5531,87.39,75,100,9.6
445,Polovinnoye,54.7914,65.9864,69.19,65,14,14.32
446,Bilibino,68.0546,166.4372,64.8,34,100,3.65
447,Casma,-41.0082,-73.1244,51.08,99,98,1.28
448,Benicarló,40.4165,0.4271,79.63,56,0,8.72
449,Pangai,-19.8,-174.35,78.91,78,20,10.36
450,Skorodnoye,51.071,37.2276,55.29,69,0,8.48
451,Bilma,18.6853,12.9164,83.05,58,100,13.06
